﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0zttTFXY4Tvok3g13fPjZw","A Bad Dream","Keane","Under The Iron Sea (UK edition)","1","5","304280","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:6BUYGjFDI81lI63vcfLmih","Last Request","Paolo Nutini","Last Request","1","1","220413","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:46R6rNYl6yxDuQNoY1Xjcl","Forever Lost","The Magic Numbers","Forever Lost","1","1","257005","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:1FIg258IXgTj3ArkOC1Dqh","Human","Jon McLaughlin","Indiana","1","6","252053","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:6qRfox98MxG58sqoPPn8QY","Everybody's Changing","Keane","Music From The WB Television Series One Tree Hill (change in 1 track bundle status)","1","11","215266","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:6b4tTTEsJ5jtpCdCp2orsp","Working for the Weekend","Loverboy","Shaun White Snowboarding: Official Soundtrack","1","10","220893","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:0OlG5jpER4X3IWqvZr9KXx","Poison","Bell Biv DeVoe","Hip-Hop Pre-Cleared Compilation","1","7","262826","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:64qxxqjUynL5vjkXP104I9","100 Years","Five For Fighting","The Battle For Everything","1","4","244600","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:7sNlOu2jnVnJ93dj2Q7Wv0","Hey Julie","Fountains Of Wayne","Hey Julie","1","1","159786","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:58t59H5hOY20Z1kOyAvNSJ","Living Life","Eels","Useless Trinkets-B Sides, Soundtracks, Rarieties and Unreleased 1996-2006","2","17","169826","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:0f9fM6DdpJM79NQ1XbHcjJ","Still Fighting It","Ben Folds","Rockin' The Suburbs","1","3","265893","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:6FeBkC4wmjcikm4Y2Orqnr","All Kinds Of Time","Fountains Of Wayne","Welcome Interstate Managers","1","7","261746","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:5aDpULK8MbJmHl42kR5KNI","Collide","Howie Day","Stop All The World Now","1","3","249120","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
"spotify:track:7y5oFt113JF0bnr4rKyLN8","We Don't Have To Take Our Clothes Off - 7'' Version","Jermaine Stewart","Playlist: Dance","1","10","247893","spotify:user:tn.leprechaun","2014-09-25T19:42:04Z"
